,Category,NumberOfVotes,BookID,Hyperlink,Title,Rating,RatingCount,ReviewCount,Position,PositionAndTitle
292,Historical fiction,5628,40988979,https://www.goodreads.com/book/show/40988979-lost-roses,Lost Roses by Martha Hall Kelly,4.01,26423,3126,14,14 - Lost Roses by Martha Hall Kelly
293,Fantasy,4669,41212753,https://www.goodreads.com/book/show/41212753-the-dragon-republic,The Dragon Republic by R.F. Kuang,4.31,8680,1736,14,14 - The Dragon Republic by R.F. Kuang
294,Romance,4748,41063454,https://www.goodreads.com/book/show/41063454-meet-cute,Meet Cute by Helena Hunting,3.76,22261,2914,14,14 - Meet Cute by Helena Hunting
295,Science fiction,3258,37534907,https://www.goodreads.com/book/show/37534907-the-city-in-the-middle-of-the-night,The City in the Middle of the Night by Charlie Jane Anders,3.57,5263,1066,14,14 - The City in the Middle of the Night by Charlie Jane Anders
296,Horror,1600,41555927,https://www.goodreads.com/book/show/41555927-the-toll,The Toll by Cherie Priest,3.42,1412,312,14,14 - The Toll by Cherie Priest
297,Humor,2396,44527315,https://www.goodreads.com/book/show/44527315-effin-birds,Effin' Birds by Aaron  Reynolds,4.14,492,115,14,14 - Effin' Birds by Aaron  Reynolds
298,Nonfiction,4521,40121993,https://www.goodreads.com/book/show/40121993-the-collected-schizophrenias,The Collected Schizophrenias by Esmé Weijun Wang,4.16,8957,1151,14,14 - The Collected Schizophrenias by Esmé Weijun Wang
299,Memoir autobiography,3072,42729452,https://www.goodreads.com/book/show/42729452-more-than-enough,More Than Enough by Elaine Welteroth,4.4,3572,529,14,14 - More Than Enough by Elaine Welteroth
300,History biography,2251,40165912,https://www.goodreads.com/book/show/40165912-the-lady-from-the-black-lagoon,The Lady from the Black Lagoon by Mallory O'Meara,4.04,3351,802,14,14 - The Lady from the Black Lagoon by Mallory O'Meara
301,Science technology,1866,42397849,https://www.goodreads.com/book/show/42397849-burnout,Burnout by Emily Nagoski,3.97,5040,807,14,14 - Burnout by Emily Nagoski
302,Food cookbooks,2581,40796103,https://www.goodreads.com/book/show/40796103-no-crumbs-left,No Crumbs Left by Teri Turner,4.46,427,71,14,14 - No Crumbs Left by Teri Turner
303,Graphic novels comics,3543,36700347,https://www.goodreads.com/book/show/36700347-good-talk,Good Talk by Mira Jacob,4.48,8668,1484,14,14 - Good Talk by Mira Jacob
304,Poetry,1817,40121980,https://www.goodreads.com/book/show/40121980-deaf-republic,Deaf Republic by Ilya Kaminsky,4.5,2648,466,14,14 - Deaf Republic by Ilya Kaminsky
305,Debut novel,4607,40696776,https://www.goodreads.com/book/show/40696776-boy-swallows-universe,Boy Swallows Universe by Trent Dalton,4.42,32049,3311,14,14 - Boy Swallows Universe by Trent Dalton
306,Young adult fiction,4538,39847584,https://www.goodreads.com/book/show/39847584-frankly-in-love,Frankly in Love by David  Yoon,3.82,13108,3053,14,14 - Frankly in Love by David  Yoon
307,Young adult fantasy,4477,31373184,https://www.goodreads.com/book/show/31373184-call-down-the-hawk,Call Down the Hawk by Maggie Stiefvater,4.38,15338,3542,14,14 - Call Down the Hawk by Maggie Stiefvater
308,Childrens,2910,41429527,https://www.goodreads.com/book/show/41429527-shouting-at-the-rain,Shouting at the Rain by Lynda Mullaly Hunt,4.19,3651,534,14,14 - Shouting at the Rain by Lynda Mullaly Hunt
309,Picture,1976,40607588,https://www.goodreads.com/book/show/40607588-it-s-not-hansel-and-gretel,It's Not Hansel and Gretel by Josh Funk,4.04,1043,222,14,14 - It's Not Hansel and Gretel by Josh Funk
310,Fiction,4932,42207168,https://www.goodreads.com/book/show/42207168-the-gifted-school,The Gifted School by Bruce Holsinger,3.75,22687,2996,15,15 - The Gifted School by Bruce Holsinger
311,Mystery thriller,3582,41716679,https://www.goodreads.com/book/show/41716679-searching-for-sylvie-lee,Searching for Sylvie Lee by Jean Kwok,3.66,20832,2343,15,15 - Searching for Sylvie Lee by Jean Kwok
312,Historical fiction,5387,42589678,https://www.goodreads.com/book/show/42589678-mrs-everything,Mrs. Everything by Jennifer Weiner,3.85,50542,5567,15,15 - Mrs. Everything by Jennifer Weiner
313,Fantasy,4593,37587820,https://www.goodreads.com/book/show/37587820-darkdawn,Darkdawn by Jay Kristoff,4.37,14190,2775,15,15 - Darkdawn by Jay Kristoff
314,Romance,4257,43205122,https://www.goodreads.com/book/show/43205122-well-met,Well Met by Jen DeLuca,3.89,22053,4174,15,15 - Well Met by Jen DeLuca
315,Science fiction,3109,39863238,https://www.goodreads.com/book/show/39863238-a-memory-called-empire,A Memory Called Empire by Arkady Martine,4.18,8017,1471,15,15 - A Memory Called Empire by Arkady Martine
316,Horror,1273,44349541,https://www.goodreads.com/book/show/44349541-violet,Violet by Scott   Thomas,3.56,1230,402,15,15 - Violet by Scott   Thomas
317,Humor,2218,34315901,https://www.goodreads.com/book/show/34315901-baby-don-t-hurt-me,"Baby, Don't Hurt Me by Chris Kattan",3.62,478,101,15,"15 - Baby, Don't Hurt Me by Chris Kattan"
318,Nonfiction,4469,43126457,https://www.goodreads.com/book/show/43126457-trick-mirror,Trick Mirror by Jia Tolentino,4.23,25526,3042,15,15 - Trick Mirror by Jia Tolentino
319,Memoir autobiography,3009,40046084,https://www.goodreads.com/book/show/40046084-long-live-the-tribe-of-fatherless-girls,Long Live the Tribe of Fatherless Girls by T Kira Madden,4.3,4244,595,15,15 - Long Live the Tribe of Fatherless Girls by T Kira Madden
320,History biography,2092,40539126,https://www.goodreads.com/book/show/40539126-code-name,Code Name by Larry Loftis,3.93,3627,521,15,15 - Code Name by Larry Loftis
321,Science technology,1583,36739320,https://www.goodreads.com/book/show/36739320-because-internet,Because Internet by Gretchen McCulloch,4.07,4953,943,15,15 - Because Internet by Gretchen McCulloch
322,Food cookbooks,2494,49630911,https://www.goodreads.com/book/show/49630911-sunny-side-up,Sunny-Side Up by Waylynn Lucas,3.86,84,22,15,15 - Sunny-Side Up by Waylynn Lucas
323,Graphic novels comics,2954,41391399,https://www.goodreads.com/book/show/41391399-under-the-moon,Under the Moon by Lauren Myracle,3.68,2467,615,15,15 - Under the Moon by Lauren Myracle
324,Poetry,1665,41745412,https://www.goodreads.com/book/show/41745412-soft-science,Soft Science by Franny Choi,4.14,946,155,15,15 - Soft Science by Franny Choi
325,Young adult fiction,3060,36511805,https://www.goodreads.com/book/show/36511805-serious-moonlight,Serious Moonlight by Jenn Bennett,3.76,5424,1232,15,15 - Serious Moonlight by Jenn Bennett
326,Young adult fantasy,4057,40367270,https://www.goodreads.com/book/show/40367270-four-dead-queens,Four Dead Queens by Astrid Scholte,3.76,10769,2274,15,15 - Four Dead Queens by Astrid Scholte
327,Childrens,2817,38609428,https://www.goodreads.com/book/show/38609428-to-night-owl-from-dogfish,To Night Owl from Dogfish by Holly Goldberg Sloan,4.09,4815,1145,15,15 - To Night Owl from Dogfish by Holly Goldberg Sloan
328,Picture,1655,42642044,https://www.goodreads.com/book/show/42642044-fry-bread,Fry Bread by Kevin Noble Maillard,4.46,1784,390,15,15 - Fry Bread by Kevin Noble Maillard
329,Fiction,3591,41880602,https://www.goodreads.com/book/show/41880602-fleishman-is-in-trouble,Fleishman Is in Trouble by Taffy Brodesser-Akner,3.69,38577,4556,16,16 - Fleishman Is in Trouble by Taffy Brodesser-Akner
331,Debut novel,2525,41880602,https://www.goodreads.com/book/show/41880602-fleishman-is-in-trouble,Fleishman Is in Trouble by Taffy Brodesser-Akner,3.69,38577,4556,20,20 - Fleishman Is in Trouble by Taffy Brodesser-Akner
333,Mystery thriller,3412,41081925,https://www.goodreads.com/book/show/41081925-i-ll-never-tell,I'll Never Tell by Catherine McKenzie,3.75,13462,1476,16,16 - I'll Never Tell by Catherine McKenzie
334,Historical fiction,3122,45033931,https://www.goodreads.com/book/show/45033931-cilka-s-journey,Cilka's Journey by Heather   Morris,4.4,41923,4610,16,16 - Cilka's Journey by Heather   Morris
335,Fantasy,4424,41555947,https://www.goodreads.com/book/show/41555947-magic-for-liars,Magic for Liars by Sarah Gailey,3.66,14337,2459,16,16 - Magic for Liars by Sarah Gailey
336,Romance,3669,43603066,https://www.goodreads.com/book/show/43603066-sapphire-flames,Sapphire Flames by Ilona Andrews,4.39,14546,1796,16,16 - Sapphire Flames by Ilona Andrews
337,Science fiction,2953,43160651,https://www.goodreads.com/book/show/43160651-thrawn,Thrawn by Timothy Zahn,4.24,6818,659,16,16 - Thrawn by Timothy Zahn
338,Horror,1234,44791629,https://www.goodreads.com/book/show/44791629-the-remaking,The Remaking by Clay McLeod Chapman,3.31,990,304,16,16 - The Remaking by Clay McLeod Chapman
339,Humor,1909,40819522,https://www.goodreads.com/book/show/40819522-brilliant-brilliant-brilliant-brilliant-brilliant,"Brilliant, Brilliant, Brilliant Brilliant Brilliant by Joel Golby",3.69,1048,90,16,"16 - Brilliant, Brilliant, Brilliant Brilliant Brilliant by Joel Golby"
340,Nonfiction,4227,41883932,https://www.goodreads.com/book/show/41883932-furious-hours,Furious Hours by Casey Cep,3.82,12923,2124,16,16 - Furious Hours by Casey Cep
341,Memoir autobiography,2652,43497893,https://www.goodreads.com/book/show/43497893-prognosis,Prognosis by Sarah Vallance,3.86,5553,515,16,16 - Prognosis by Sarah Vallance
342,History biography,1772,41716904,https://www.goodreads.com/book/show/41716904-upheaval,Upheaval by Jared Diamond,3.86,4119,579,16,16 - Upheaval by Jared Diamond
343,Science technology,920,43723901,https://www.goodreads.com/book/show/43723901-lifespan,Lifespan by David A. Sinclair,4.21,3510,434,16,16 - Lifespan by David A. Sinclair
344,Food cookbooks,2286,43261151,https://www.goodreads.com/book/show/43261151-binging-with-babish,Binging with Babish by Andrew Rea,4.39,381,32,16,16 - Binging with Babish by Andrew Rea
345,Graphic novels comics,2452,41812788,https://www.goodreads.com/book/show/41812788-the-adventure-zone,The Adventure Zone by Clint McElroy,4.65,6403,695,16,16 - The Adventure Zone by Clint McElroy
346,Poetry,1644,48510012,https://www.goodreads.com/book/show/48510012-i-m-not-your-paper-princess,I'm Not Your Paper Princess by J.R. Rogue,4.14,118,44,16,16 - I'm Not Your Paper Princess by J.R. Rogue
347,Debut novel,3674,39679076,https://www.goodreads.com/book/show/39679076-house-of-salt-and-sorrows,House of Salt and Sorrows by Erin A. Craig,3.96,19976,4848,16,16 - House of Salt and Sorrows by Erin A. Craig
348,Young adult fiction,2876,40536335,https://www.goodreads.com/book/show/40536335-opposite-of-always,Opposite of Always by Justin A. Reynolds,3.72,9443,1941,16,16 - Opposite of Always by Justin A. Reynolds
349,Young adult fantasy,4055,42121526,https://www.goodreads.com/book/show/42121526-rebel,Rebel by Marie Lu,4.14,8685,1658,16,16 - Rebel by Marie Lu
350,Childrens,2757,43231099,https://www.goodreads.com/book/show/43231099-dead-voices,Dead Voices by Katherine Arden,4.04,2697,617,16,16 - Dead Voices by Katherine Arden
351,Picture,1466,41954471,https://www.goodreads.com/book/show/41954471-what-if-everybody-thought-that,What If Everybody Thought That? by Ellen Javernick,3.53,308,58,16,16 - What If Everybody Thought That? by Ellen Javernick
352,Fiction,2787,44581535,https://www.goodreads.com/book/show/44581535-find-me,Find Me by André Aciman,3.34,18810,3004,17,17 - Find Me by André Aciman
353,Mystery thriller,2806,43885041,https://www.goodreads.com/book/show/43885041-the-night-fire,The Night Fire by Michael Connelly,4.31,28064,2423,17,17 - The Night Fire by Michael Connelly
354,Historical fiction,2940,42366224,https://www.goodreads.com/book/show/42366224-the-book-woman-of-troublesome-creek,The Book Woman of Troublesome Creek by Kim Michele Richardson,4.23,38703,6650,17,17 - The Book Woman of Troublesome Creek by Kim Michele Richardson
355,Fantasy,2745,30169100,https://www.goodreads.com/book/show/30169100-the-burning-white,The Burning White by Brent Weeks,4.33,14311,1378,17,17 - The Burning White by Brent Weeks
356,Romance,3456,53166909,https://www.goodreads.com/book/show/53166909-beard-necessities,Beard Necessities by Penny Reid,4.3,7419,1058,17,17 - Beard Necessities by Penny Reid
357,Science fiction,2945,43263237,https://www.goodreads.com/book/show/43263237-the-future-of-another-timeline,The Future of Another Timeline by Annalee Newitz,3.78,3026,663,17,17 - The Future of Another Timeline by Annalee Newitz
358,Horror,1121,43263515,https://www.goodreads.com/book/show/43263515-the-monster-of-elendhaven,The Monster of Elendhaven by Jennifer Giesbrecht,3.56,2849,737,17,17 - The Monster of Elendhaven by Jennifer Giesbrecht
359,Humor,1681,44908180,https://www.goodreads.com/book/show/44908180-medallion-status,Medallion Status by John Hodgman,4.19,2924,318,17,17 - Medallion Status by John Hodgman
360,Nonfiction,2215,44767265,https://www.goodreads.com/book/show/44767265-blowout,Blowout by Rachel  Maddow,4.39,7737,1271,17,17 - Blowout by Rachel  Maddow
361,Memoir autobiography,2289,40180065,https://www.goodreads.com/book/show/40180065-sounds-like-titanic,Sounds Like Titanic by Jessica Chiccehitto Hindman,3.91,1884,394,17,17 - Sounds Like Titanic by Jessica Chiccehitto Hindman
362,History biography,1664,41812830,https://www.goodreads.com/book/show/41812830-the-british-are-coming,The British Are Coming by Rick Atkinson,4.45,2372,408,17,17 - The British Are Coming by Rick Atkinson
363,Science technology,914,36589701,https://www.goodreads.com/book/show/36589701-the-perfect-predator,The Perfect Predator by Steffanie Strathdee,4.41,1441,286,17,17 - The Perfect Predator by Steffanie Strathdee
364,Food cookbooks,2149,37805223,https://www.goodreads.com/book/show/37805223-midnight-chicken,Midnight Chicken by Ella Risbridger,4.42,581,116,17,17 - Midnight Chicken by Ella Risbridger
365,Graphic novels comics,1939,45899240,https://www.goodreads.com/book/show/45899240-monstress-vol-4,"Monstress, Vol. 4 by Marjorie M. Liu",4.24,3333,433,17,"17 - Monstress, Vol. 4 by Marjorie M. Liu"
366,Poetry,1485,40909463,https://www.goodreads.com/book/show/40909463-the-octopus-museum,The Octopus Museum by Brenda Shaughnessy,3.76,392,68,17,17 - The Octopus Museum by Brenda Shaughnessy
367,Debut novel,3569,36492488,https://www.goodreads.com/book/show/36492488-we-hunt-the-flame,We Hunt the Flame by Hafsah Faizal,3.8,9596,2346,17,17 - We Hunt the Flame by Hafsah Faizal
369,Young adult fantasy,1916,36492488,https://www.goodreads.com/book/show/36492488-we-hunt-the-flame,We Hunt the Flame by Hafsah Faizal,3.8,9596,2346,19,19 - We Hunt the Flame by Hafsah Faizal
371,Young adult fiction,1958,43263520,https://www.goodreads.com/book/show/43263520-the-grace-year,The Grace Year by Kim Liggett,4.15,17214,4233,17,17 - The Grace Year by Kim Liggett
372,Young adult fantasy,2580,44139418,https://www.goodreads.com/book/show/44139418-the-secret-commonwealth,The Secret Commonwealth by Philip Pullman,4.1,25819,3006,17,17 - The Secret Commonwealth by Philip Pullman
373,Childrens,2715,39855034,https://www.goodreads.com/book/show/39855034-the-unteachables,The Unteachables by Gordon Korman,4.29,4231,798,17,17 - The Unteachables by Gordon Korman
374,Picture,1459,41451729,https://www.goodreads.com/book/show/41451729-vacation-for-dexter,Vacation for Dexter! by Lindsay Ward,3.75,232,47,17,17 - Vacation for Dexter! by Lindsay Ward
375,Fiction,1486,42976592,https://www.goodreads.com/book/show/42976592-the-reckless-oath-we-made,The Reckless Oath We Made by Bryn Greenwood,4.01,6453,1187,18,18 - The Reckless Oath We Made by Bryn Greenwood
376,Mystery thriller,2736,42599605,https://www.goodreads.com/book/show/42599605-the-last-widow,The Last Widow by Karin Slaughter,4.08,21278,2278,18,18 - The Last Widow by Karin Slaughter
377,Historical fiction,2280,25813942,https://www.goodreads.com/book/show/25813942-this-tender-land,This Tender Land by William Kent Krueger,4.38,31316,5046,18,18 - This Tender Land by William Kent Krueger
378,Fantasy,2239,42592353,https://www.goodreads.com/book/show/42592353-age-of-legend,Age of Legend by Michael J. Sullivan,4.38,5440,562,18,18 - Age of Legend by Michael J. Sullivan
379,Romance,2215,52176814,https://www.goodreads.com/book/show/52176814-the-best-thing,The Best Thing by Mariana Zapata,4.03,12855,1582,18,18 - The Best Thing by Mariana Zapata
380,Science fiction,1728,39217756,https://www.goodreads.com/book/show/39217756-here-and-now-and-then,Here and Now and Then by Mike Chen,3.77,4923,1065,18,18 - Here and Now and Then by Mike Chen
381,Horror,1074,40696751,https://www.goodreads.com/book/show/40696751-the-luminous-dead,The Luminous Dead by Caitlin  Starling,3.72,4022,991,18,18 - The Luminous Dead by Caitlin  Starling
382,Humor,1625,43309518,https://www.goodreads.com/book/show/43309518-nice-try,Nice Try by Josh Gondelman,3.87,725,107,18,18 - Nice Try by Josh Gondelman
383,Nonfiction,2184,40265832,https://www.goodreads.com/book/show/40265832-how-to-be-an-antiracist,How to Be an Antiracist by Ibram X. Kendi,4.47,7306,1308,18,18 - How to Be an Antiracist by Ibram X. Kendi
384,Memoir autobiography,2202,39216478,https://www.goodreads.com/book/show/39216478-the-unwinding-of-the-miracle,The Unwinding of the Miracle by Julie Yip-Williams,4.11,7103,1047,18,18 - The Unwinding of the Miracle by Julie Yip-Williams
385,History biography,1483,40360266,https://www.goodreads.com/book/show/40360266-spearhead,Spearhead by Adam Makos,4.55,2569,401,18,18 - Spearhead by Adam Makos
386,Science technology,833,44573628,https://www.goodreads.com/book/show/44573628-super-pumped,Super Pumped by Mike Isaac,4.17,5709,524,18,18 - Super Pumped by Mike Isaac
387,Food cookbooks,927,44767037,https://www.goodreads.com/book/show/44767037-nothing-fancy,Nothing Fancy by Alison Roman,4.3,1051,95,18,18 - Nothing Fancy by Alison Roman
388,Graphic novels comics,1370,40538764,https://www.goodreads.com/book/show/40538764-fence-vol-3,"Fence, Vol. 3 by C.S. Pacat",4.2,4339,689,18,"18 - Fence, Vol. 3 by C.S. Pacat"
389,Poetry,1477,44313592,https://www.goodreads.com/book/show/44313592-aphrodite-made-me-do-it,Aphrodite Made Me Do It by Trista Mateer,4.07,1829,541,18,18 - Aphrodite Made Me Do It by Trista Mateer
390,Young adult fiction,1707,44107480,https://www.goodreads.com/book/show/44107480-lovely-war,Lovely War by Julie Berry,4.28,10428,2559,18,18 - Lovely War by Julie Berry
391,Childrens,2460,44023770,https://www.goodreads.com/book/show/44023770-a-tale-of-magic,A Tale of Magic... by Chris Colfer,3.76,6402,480,18,18 - A Tale of Magic... by Chris Colfer
392,Picture,838,40796177,https://www.goodreads.com/book/show/40796177-the-undefeated,The Undefeated by Kwame Alexander,4.7,2975,782,18,18 - The Undefeated by Kwame Alexander
393,Fiction,1413,52186796,https://www.goodreads.com/book/show/52186796-girl-woman-other,"Girl, Woman, Other by Bernardine Evaristo",4.42,33372,3962,19,"19 - Girl, Woman, Other by Bernardine Evaristo"
394,Mystery thriller,2697,39796904,https://www.goodreads.com/book/show/39796904-my-lovely-wife,My Lovely Wife by Samantha  Downing,3.89,54045,7731,19,19 - My Lovely Wife by Samantha  Downing
395,Historical fiction,1315,41555942,https://www.goodreads.com/book/show/41555942-nottingham,Nottingham by Nathan Makaryk,3.89,773,199,19,19 - Nottingham by Nathan Makaryk
396,Fantasy,2097,35606041,https://www.goodreads.com/book/show/35606041-a-little-hatred,A Little Hatred by Joe Abercrombie,4.48,10522,1268,19,19 - A Little Hatred by Joe Abercrombie
397,Romance,1711,43616063,https://www.goodreads.com/book/show/43616063-the-wallflower-wager,The Wallflower Wager by Tessa Dare,3.98,11739,1888,19,19 - The Wallflower Wager by Tessa Dare
398,Science fiction,1699,41716930,https://www.goodreads.com/book/show/41716930-children-of-ruin,Children of Ruin by Adrian Tchaikovsky,4.07,10951,1117,19,19 - Children of Ruin by Adrian Tchaikovsky
399,Horror,748,42201850,https://www.goodreads.com/book/show/42201850-the-need,The Need by Helen          Phillips,3.18,7798,1564,19,19 - The Need by Helen          Phillips
400,Humor,1623,44064563,https://www.goodreads.com/book/show/44064563-when-life-gives-you-pears,When Life Gives You Pears by Jeannie Gaffigan,4.22,3005,490,19,19 - When Life Gives You Pears by Jeannie Gaffigan
401,Nonfiction,1239,40365093,https://www.goodreads.com/book/show/40365093-thick,Thick by Tressie McMillan Cottom,4.45,5950,865,19,19 - Thick by Tressie McMillan Cottom
402,Memoir autobiography,2156,44288534,https://www.goodreads.com/book/show/44288534-what-is-a-girl-worth,What Is a Girl Worth? by Rachael Denhollander,4.65,2086,567,19,19 - What Is a Girl Worth? by Rachael Denhollander
403,History biography,833,40121946,https://www.goodreads.com/book/show/40121946-the-death-and-life-of-aida-hernandez,The Death and Life of Aida Hernandez by Aaron Bobrow-Strain,4.47,479,102,19,19 - The Death and Life of Aida Hernandez by Aaron Bobrow-Strain
404,Science technology,790,44065062,https://www.goodreads.com/book/show/44065062-something-deeply-hidden,Something Deeply Hidden by Sean Carroll,4.09,1399,207,19,19 - Something Deeply Hidden by Sean Carroll
405,Food cookbooks,897,40864247,https://www.goodreads.com/book/show/40864247-mostly-plants,Mostly Plants by Tracy Pollan,3.92,358,54,19,19 - Mostly Plants by Tracy Pollan
406,Graphic novels comics,1168,42835876,https://www.goodreads.com/book/show/42835876-the-wicked-the-divine-vol-9,"The Wicked + The Divine, Vol. 9 by Kieron Gillen",4.27,2014,327,19,"19 - The Wicked + The Divine, Vol. 9 by Kieron Gillen"
407,Poetry,1286,43726619,https://www.goodreads.com/book/show/43726619-a-fortune-for-your-disaster,A Fortune for Your Disaster by Hanif Abdurraqib,4.47,815,132,19,19 - A Fortune for Your Disaster by Hanif Abdurraqib
408,Young adult fiction,1464,40148146,https://www.goodreads.com/book/show/40148146-love-from-a-to-z,Love From A to Z by S.K. Ali,4.12,5401,1444,19,19 - Love From A to Z by S.K. Ali
409,Childrens,1344,43453642,https://www.goodreads.com/book/show/43453642-dear-sweet-pea,Dear Sweet Pea by Julie   Murphy,4.02,2270,472,19,19 - Dear Sweet Pea by Julie   Murphy
410,Picture,823,41954470,https://www.goodreads.com/book/show/41954470-rosie-the-dragon-and-charlie-make-waves,Rosie the Dragon and Charlie Make Waves by Lauren H. Kerstein,3.81,491,105,19,19 - Rosie the Dragon and Charlie Make Waves by Lauren H. Kerstein
411,Fiction,1238,41940306,https://www.goodreads.com/book/show/41940306-lanny,Lanny by Max Porter,4.13,12271,1827,20,20 - Lanny by Max Porter
412,Mystery thriller,1772,38355304,https://www.goodreads.com/book/show/38355304-the-line-between,The Line Between by Tosca Lee,4.09,2870,745,20,20 - The Line Between by Tosca Lee
413,Historical fiction,754,41454042,https://www.goodreads.com/book/show/41454042-the-summer-country,The Summer Country by Lauren Willig,3.86,3444,573,20,20 - The Summer Country by Lauren Willig
414,Fantasy,2047,38099642,https://www.goodreads.com/book/show/38099642-holy-sister,Holy Sister by Mark  Lawrence,4.35,14035,1484,20,20 - Holy Sister by Mark  Lawrence
415,Romance,1335,42079209,https://www.goodreads.com/book/show/42079209-brazen-and-the-beast,Brazen and the Beast by Sarah MacLean,4.12,6791,1080,20,20 - Brazen and the Beast by Sarah MacLean
416,Science fiction,584,40523931,https://www.goodreads.com/book/show/40523931-the-light-brigade,The Light Brigade by Kameron Hurley,3.97,4736,888,20,20 - The Light Brigade by Kameron Hurley
417,Horror,501,42186023,https://www.goodreads.com/book/show/42186023-petra-s-ghost,Petra's Ghost by C.S. O’Cinneide,3.89,196,67,20,20 - Petra's Ghost by C.S. O’Cinneide
418,Humor,997,42046110,https://www.goodreads.com/book/show/42046110-someone-who-will-love-you-in-all-your-damaged-glory,Someone Who Will Love You in All Your Damaged Glory by Raphael Bob-Waksberg,4.17,4221,684,20,20 - Someone Who Will Love You in All Your Damaged Glory by Raphael Bob-Waksberg
419,Nonfiction,675,36742978,https://www.goodreads.com/book/show/36742978-grace-will-lead-us-home,Grace Will Lead Us Home by Jennifer Berry Hawes,4.5,700,141,20,20 - Grace Will Lead Us Home by Jennifer Berry Hawes
420,Memoir autobiography,1306,43261166,https://www.goodreads.com/book/show/43261166-wild-game,Wild Game by Adrienne Brodeur,4.01,14451,1804,20,20 - Wild Game by Adrienne Brodeur
421,History biography,595,42972023,https://www.goodreads.com/book/show/42972023-the-anarchy,The Anarchy by William Dalrymple,4.24,2826,449,20,20 - The Anarchy by William Dalrymple
422,Science technology,788,40696923,https://www.goodreads.com/book/show/40696923-blueprint,Blueprint by Nicholas A. Christakis,3.94,1161,149,20,20 - Blueprint by Nicholas A. Christakis
423,Food cookbooks,876,40916358,https://www.goodreads.com/book/show/40916358-burn-the-place,Burn the Place by Iliana Regan,3.78,1045,151,20,20 - Burn the Place by Iliana Regan
424,Graphic novels comics,567,42667807,https://www.goodreads.com/book/show/42667807-die-vol-1,"Die, Vol. 1 by Kieron Gillen",4.08,2604,420,20,"20 - Die, Vol. 1 by Kieron Gillen"
425,Poetry,899,42977358,https://www.goodreads.com/book/show/42977358-the-girl-aquarium,The Girl Aquarium by Jen Campbell,3.74,363,58,20,20 - The Girl Aquarium by Jen Campbell
426,Young adult fiction,1264,39863399,https://www.goodreads.com/book/show/39863399-birthday,Birthday by Meredith Russo,4.25,5843,1466,20,20 - Birthday by Meredith Russo
427,Young adult fantasy,1859,39863498,https://www.goodreads.com/book/show/39863498-the-gilded-wolves,The Gilded Wolves by Roshani Chokshi,3.66,15311,4528,20,20 - The Gilded Wolves by Roshani Chokshi
428,Childrens,1295,39884337,https://www.goodreads.com/book/show/39884337-tristan-strong-punches-a-hole-in-the-sky,Tristan Strong Punches a Hole in the Sky by Kwame Mbalia,4.31,2180,574,20,20 - Tristan Strong Punches a Hole in the Sky by Kwame Mbalia
429,Picture,650,43662690,https://www.goodreads.com/book/show/43662690-snow-globe-wishes,Snow Globe Wishes by Erin Dealey,3.69,321,45,20,20 - Snow Globe Wishes by Erin Dealey
